ID,IN,OUT,soc,cap
10908,44,79,36.19,60
30123,64,93,27.83,60
123185,52,66,19.68,60
147698,30,67,50.07,60
14496,30,71,44.61,60
61873,29,73,10.81,60
142862,30,68,19.27,60
145637,32,43,43.31,60
46781,42,54,27.11,60
12503,32,76,49.05,60
114492,40,64,28.18,60
43382,39,46,32.62,60
42066,44,74,25.93,60
86753,41,46,49.4,60
52517,32,70,39.07,60
98688,39,80,9.18,60
93624,32,69,29.52,60
104346,34,67,37.38,60
91878,40,62,14.96,60
100861,32,58,30.81,60
106495,44,74,20.07,60
58206,28,91,16.72,60
90111,31,61,19.95,60
25779,52,82,50.26,60
91506,22,61,31.82,60
72192,60,80,34.57,60
21243,25,69,19.15,60
151297,38,74,8.95,60
60155,56,87,10.1,60
6118,42,55,27.83,60
126677,33,81,49.89,60
47750,33,69,38.46,60
76155,35,67,26.78,60
766,32,78,23.67,60
142842,33,49,27.27,60
34859,29,69,17.02,60
109258,35,54,19.93,60
70408,66,81,49.42,60
131121,38,76,17.71,60
49944,28,55,22.48,60
142906,36,76,16.17,60
145262,38,57,44.35,60
69610,35,55,43.44,60
99791,45,57,39.09,60
102243,35,46,50.44,60
152619,30,64,46.22,60
74032,46,82,45.29,60
81772,33,74,45.33,60
75688,63,69,42.58,60
102928,60,81,26.03,60
24478,44,77,49.12,60
21357,27,70,52.73,60
86378,19,72,46.16,60
45765,34,95,28.62,60
127650,33,78,21.09,60
33276,34,54,27.94,60
77527,68,87,14.22,60
112045,36,61,17.95,60
47285,29,70,15.68,60
116701,34,70,14.37,60
14159,26,76,6.52,60
96075,22,72,19.69,60
26496,40,50,20.7,60
94120,31,77,20.83,60
150272,32,74,28.64,60
87719,36,61,17.34,60
40895,28,77,18.39,60
39157,49,91,12.42,60
154035,62,82,34.61,60
125428,30,82,19.19,60
80974,44,93,35.64,60
106960,31,75,50.4,60
108597,28,59,31.6,60
43099,36,59,9.66,60
13262,42,75,38.94,60
148142,19,57,49.75,60
53458,38,83,44.51,60
125133,78,89,55.04,60
96143,30,71,31.44,60
87586,56,69,46.82,60
7297,39,74,35.23,60
124112,26,55,31.05,60
66922,32,80,49.3,60
53898,38,85,39.38,60
71966,43,78,10.99,60
13902,28,61,51.98,60
98727,39,42,48.42,60
51540,38,78,13.93,60
42498,30,62,20.97,60
3904,40,75,24.12,60
87589,22,50,28.17,60
92249,24,65,32.6,60
