BuildingIndex,Year,Month,Day,Hour,Quarter,DemandMean,CIMin,CIMax,CILevel,pmfStartIndx,pmfStep,DemandpmfData1,DemandpmfData2,DemandpmfData3,DemandpmfData4,DemandpmfData5,DemandpmfData6,DemandpmfData7,DemandpmfData8,DemandpmfData9,DemandpmfData10
1,2019,5,18,11,2,7.034079,3.004586,11.063572,95,6.5,0.1,0,0,0,0,0,1,0,0,0,0
1,2019,5,18,11,3,6.89586,1.705599,12.086122,95,6.5,0.1,0,0,0,1,0,0,0,0,0,0
1,2019,5,18,12,0,4.207685,0,13.1032,95,3.5,0.1,0,0,0,0,0,0,0,1,0,0
1,2019,5,18,12,1,5.389621,0.260725,10.518518,95,5,0.1,0,0,0,1,0,0,0,0,0,0
1,2019,5,18,12,2,5.775763,1.89765,9.653876,95,5.5,0.1,0,0,1,0,0,0,0,0,0,0
1,2019,5,18,12,3,5.622434,2.062557,9.18231,95,5,0.1,0,0,0,0,0,0,1,0,0,0
1,2019,5,18,13,0,4.802886,0.389882,9.215891,95,4.5,0.1,0,0,0,1,0,0,0,0,0,0
1,2019,5,18,13,1,4.357907,0,9.795075,95,4,0.1,0,0,0,1,0,0,0,0,0,0
1,2019,5,18,13,2,4.670105,0,10.722353,95,4,0.1,0,0,0,0,0,0,1,0,0,0
1,2019,5,18,13,3,4.211331,0,10.905829,95,3.5,0.1,0,0,0,0,0,0,0,1,0,0
1,2019,5,18,14,0,4.651085,0,10.382301,95,4,0.1,0,0,0,0,0,0,1,0,0,0
1,2019,5,18,14,1,4.926839,0,10.506221,95,4.5,0.1,0,0,0,0,1,0,0,0,0,0
1,2019,5,18,14,2,4.452139,0,10.19921,95,4,0.1,0,0,0,0,1,0,0,0,0,0
1,2019,5,18,14,3,4.68948,0.498278,8.880682,95,4,0.1,0,0,0,0,0,0,1,0,0,0
1,2019,5,18,15,0,4.642551,0.682135,8.602967,95,4,0.1,0,0,0,0,0,0,1,0,0,0
1,2019,5,18,15,1,3.478537,0.817006,6.140068,95,3,0.1,0,0,0,0,1,0,0,0,0,0
1,2019,5,18,15,2,3.730283,0,8.067036,95,3,0.1,0,0,0,0,0,0,0,1,0,0
1,2019,5,18,15,3,4.858783,0.332356,9.38521,95,4.5,0.1,0,0,0,1,0,0,0,0,0,0
1,2019,5,18,16,0,4.740761,1.237815,8.243708,95,4,0.1,0,0,0,0,0,0,0,1,0,0
1,2019,5,18,16,1,4.496702,1.328162,7.665241,95,4,0.1,0,0,0,0,1,0,0,0,0,0
1,2019,5,18,16,2,5.131275,1.323073,8.939476,95,4.5,0.1,0,0,0,0,0,0,1,0,0,0
1,2019,5,18,16,3,5.385574,0.220234,10.550915,95,5,0.1,0,0,0,1,0,0,0,0,0,0
1,2019,5,18,17,0,4.035123,1.532134,6.538113,95,3.5,0.1,0,0,0,0,0,1,0,0,0,0
1,2019,5,18,17,1,5.643149,0.255371,11.030926,95,5,0.1,0,0,0,0,0,0,1,0,0,0
1,2019,5,18,17,2,5.131955,2.482247,7.781662,95,4.5,0.1,0,0,0,0,0,0,1,0,0,0
1,2019,5,18,17,3,5.634066,2.177678,9.090454,95,5,0.1,0,0,0,0,0,0,1,0,0,0
1,2019,5,18,18,0,5.731842,1.673881,9.789804,95,5,0.1,0,0,0,0,0,0,0,1,0,0
1,2019,5,18,18,1,6.150742,1.836971,10.464513,95,5.5,0.1,0,0,0,0,0,0,1,0,0,0
1,2019,5,18,18,2,6.395051,0.797781,11.99232,95,6,0.1,0,0,0,1,0,0,0,0,0,0
1,2019,5,18,18,3,6.381845,1.513711,11.249979,95,6,0.1,0,0,0,1,0,0,0,0,0,0
1,2019,5,18,19,0,4.032798,0,11.241231,95,3.5,0.1,0,0,0,0,0,1,0,0,0,0
1,2019,5,18,19,1,8.086016,2.572924,13.599108,95,7.5,0.1,0,0,0,0,0,1,0,0,0,0
1,2019,5,18,19,2,5.389789,0,16.513012,95,5,0.1,0,0,0,1,0,0,0,0,0,0
1,2019,5,18,19,3,7.413123,0.972353,13.853894,95,7,0.1,0,0,0,0,1,0,0,0,0,0
1,2019,5,18,20,0,7.743139,1.990189,13.496088,95,7,0.1,0,0,0,0,0,0,0,1,0,0
1,2019,5,18,20,1,5.090684,0,16.284855,95,4.5,0.1,0,0,0,0,0,1,0,0,0,0
